threads,repeat,total_time,eigen_time,vector_time,read_time
1,1,225.258482,215.447946,0.000468,9.810053
1,2,229.122724,219.218845,0.000543,9.903323
1,3,225.178697,215.365952,0.000476,9.812254
2,1,119.764742,109.910472,0.000371,9.853883
2,2,120.007554,110.090308,0.000370,9.916860
2,3,119.106591,109.302227,0.000445,9.803904
4,1,66.778511,56.938860,0.000323,9.839313
4,2,66.443611,56.568781,0.001022,9.873793
4,3,66.607051,56.728705,0.000334,9.877997
6,1,50.678987,40.862240,0.000355,9.816377
6,2,50.899551,41.052900,0.000366,9.846270
6,3,50.665438,40.896349,0.000350,9.768724
8,1,53.718083,43.795202,0.000443,9.922423
8,2,53.324563,43.509324,0.000447,9.814775
8,3,53.518485,43.679577,0.000432,9.838456
12,1,55.222072,45.249917,0.000544,9.971593
12,2,54.966970,45.024161,0.000547,9.942243
12,3,55.504118,45.622657,0.000537,9.880905
